IE_XML_ID;IE_NAME;IP_PROP64
13291;GALAD УРБАН L LED-82;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13291;GALAD УРБАН L LED-82;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13291;GALAD УРБАН L LED-82;/local/templates/universe_s1/Сертификат СанПин.jpg
13292;Взрывозащищенный  светильник Флагман 20 Ex;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13292;Взрывозащищенный  светильник Флагман 20 Ex;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13292;Взрывозащищенный  светильник Флагман 20 Ex;/local/templates/universe_s1/Сертификат СанПин.jpg
13293;GALAD ПОБЕДА LED-40-К/К50;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13293;GALAD ПОБЕДА LED-40-К/К50;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13293;GALAD ПОБЕДА LED-40-К/К50;/local/templates/universe_s1/Сертификат СанПин.jpg
13294;GALAD ПОБЕДА LED-60;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13294;GALAD ПОБЕДА LED-60;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13294;GALAD ПОБЕДА LED-60;/local/templates/universe_s1/Сертификат СанПин.jpg
13295;GALAD ПОБЕДА LED-80;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13295;GALAD ПОБЕДА LED-80;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13295;GALAD ПОБЕДА LED-80;/local/templates/universe_s1/Сертификат СанПин.jpg
13296;GALAD ПОБЕДА LED-40;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13296;GALAD ПОБЕДА LED-40;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13296;GALAD ПОБЕДА LED-40;/local/templates/universe_s1/Сертификат СанПин.jpg
13297;GALAD ПОБЕДА LED-40-ШБ2/К50;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13297;GALAD ПОБЕДА LED-40-ШБ2/К50;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13297;GALAD ПОБЕДА LED-40-ШБ2/К50;/local/templates/universe_s1/Сертификат СанПин.jpg
13298;GALAD ПОБЕДА LED-100;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13298;GALAD ПОБЕДА LED-100;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13298;GALAD ПОБЕДА LED-100;/local/templates/universe_s1/Сертификат СанПин.jpg
13299;GALAD ПОБЕДА LED-80-ШБ1/К50;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
13299;GALAD ПОБЕДА LED-80-ШБ1/К50;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
13299;GALAD ПОБЕДА LED-80-ШБ1/К50;/local/templates/universe_s1/Сертификат СанПин.jpg
13300;GALAD ПОБЕДА LED-80-ШБ2/К50;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
